config,loyo_r2,loyo_rmse
"ridge[sat50,k5,l3]",-1.2872684597007056,9.238202457557264
"ridge[lin,k5,l10,log]",-1.3324250966843807,9.32894983875803
"ridge[lin,k1,l3,log]",-1.3519450876461123,9.367905345495267
"ridge[lin,k3,l3]",-1.370958623907955,9.405695018904375
"ridge[sat50,k5,l10,log]",-1.383354021987825,9.430249507088691
"ridge[lin,k2,l3]",-1.4009363003075253,9.464969611932272
"ridge[lin,k3,l3,log]",-1.4306634398684261,9.523384508180715
"ridge[sqrt,k5,l10,log]",-1.459986504460626,9.580656452408059
"ridge[lin,k2,l3,log]",-1.4728939504793659,9.605758219806317
"ridge[lin,k5,l3]",-1.614701465468492,9.87733901689216
"ridge[lin,k5,l3,log]",-1.740319169100371,10.111823474560442
"ridge[sat50,k5,l3,log]",-1.9110109279653535,10.42199409891605
"ridge[sqrt,k5,l3,log]",-2.1631725993970847,10.864014836016496
