system:index,Date,District,Month,Year,.geo
20250305T045659_20250305T051412_T44PMQ_0,2025-03-05,Jaffna,3,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250305T045659_20250305T051412_T44PMQ_1,2025-03-05,Matale,3,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250305T045659_20250305T051412_T44PMQ_2,2025-03-05,Anuradhapura,3,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250305T045659_20250305T051412_T44PMQ_3,2025-03-05,Polonnaruwa,3,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250305T045659_20250305T051412_T44PMQ_4,2025-03-05,Monaragala,3,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250307T050631_20250307T050625_T44NMP_0,2025-03-07,Jaffna,3,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250307T050631_20250307T050625_T44NMP_1,2025-03-07,Matale,3,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250307T050631_20250307T050625_T44NMP_2,2025-03-07,Anuradhapura,3,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250307T050631_20250307T050625_T44NMP_3,2025-03-07,Polonnaruwa,3,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250307T050631_20250307T050625_T44NMP_4,2025-03-07,Monaragala,3,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250315T045659_20250315T051049_T44PLR_0,2025-03-15,Jaffna,3,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250315T045659_20250315T051049_T44PLR_1,2025-03-15,Matale,3,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250315T045659_20250315T051049_T44PLR_2,2025-03-15,Anuradhapura,3,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250315T045659_20250315T051049_T44PLR_3,2025-03-15,Polonnaruwa,3,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250315T045659_20250315T051049_T44PLR_4,2025-03-15,Monaragala,3,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250325T045659_20250325T051002_T44PLR_0,2025-03-25,Jaffna,3,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250325T045659_20250325T051002_T44PLR_1,2025-03-25,Matale,3,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250325T045659_20250325T051002_T44PLR_2,2025-03-25,Anuradhapura,3,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250325T045659_20250325T051002_T44PLR_3,2025-03-25,Polonnaruwa,3,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250325T045659_20250325T051002_T44PLR_4,2025-03-25,Monaragala,3,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250329T050611_20250329T050610_T44NMP_0,2025-03-29,Jaffna,3,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250329T050611_20250329T050610_T44NMP_1,2025-03-29,Matale,3,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250329T050611_20250329T050610_T44NMP_2,2025-03-29,Anuradhapura,3,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250329T050611_20250329T050610_T44NMP_3,2025-03-29,Polonnaruwa,3,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250329T050611_20250329T050610_T44NMP_4,2025-03-29,Monaragala,3,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250330T045721_20250330T051605_T44PLR_0,2025-03-30,Jaffna,3,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250330T045721_20250330T051605_T44PLR_1,2025-03-30,Matale,3,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250330T045721_20250330T051605_T44PLR_2,2025-03-30,Anuradhapura,3,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250330T045721_20250330T051605_T44PLR_3,2025-03-30,Polonnaruwa,3,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250330T045721_20250330T051605_T44PLR_4,2025-03-30,Monaragala,3,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250401T050231_20250401T050902_T44PLR_0,2025-04-01,Jaffna,4,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250401T050231_20250401T050902_T44PLR_1,2025-04-01,Matale,4,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250401T050231_20250401T050902_T44PLR_2,2025-04-01,Anuradhapura,4,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250401T050231_20250401T050902_T44PLR_3,2025-04-01,Polonnaruwa,4,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250401T050231_20250401T050902_T44PLR_4,2025-04-01,Monaragala,4,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250414T045659_20250414T050430_T44PLR_0,2025-04-14,Jaffna,4,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250414T045659_20250414T050430_T44PLR_1,2025-04-14,Matale,4,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250414T045659_20250414T050430_T44PLR_2,2025-04-14,Anuradhapura,4,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250414T045659_20250414T050430_T44PLR_3,2025-04-14,Polonnaruwa,4,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250414T045659_20250414T050430_T44PLR_4,2025-04-14,Monaragala,4,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250416T050621_20250416T050622_T44NNN_0,2025-04-16,Jaffna,4,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250416T050621_20250416T050622_T44NNN_1,2025-04-16,Matale,4,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250416T050621_20250416T050622_T44NNN_2,2025-04-16,Anuradhapura,4,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250416T050621_20250416T050622_T44NNN_3,2025-04-16,Polonnaruwa,4,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250416T050621_20250416T050622_T44NNN_4,2025-04-16,Monaragala,4,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250416T050621_20250416T050622_T44NNP_0,2025-04-16,Jaffna,4,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250416T050621_20250416T050622_T44NNP_1,2025-04-16,Matale,4,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250416T050621_20250416T050622_T44NNP_2,2025-04-16,Anuradhapura,4,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250416T050621_20250416T050622_T44NNP_3,2025-04-16,Polonnaruwa,4,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250416T050621_20250416T050622_T44NNP_4,2025-04-16,Monaragala,4,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250421T050231_20250421T050905_T44PLR_0,2025-04-21,Jaffna,4,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250421T050231_20250421T050905_T44PLR_1,2025-04-21,Matale,4,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250421T050231_20250421T050905_T44PLR_2,2025-04-21,Anuradhapura,4,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250421T050231_20250421T050905_T44PLR_3,2025-04-21,Polonnaruwa,4,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250421T050231_20250421T050905_T44PLR_4,2025-04-21,Monaragala,4,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250421T050609_20250421T050603_T44NNP_0,2025-04-21,Jaffna,4,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250421T050609_20250421T050603_T44NNP_1,2025-04-21,Matale,4,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250421T050609_20250421T050603_T44NNP_2,2025-04-21,Anuradhapura,4,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250421T050609_20250421T050603_T44NNP_3,2025-04-21,Polonnaruwa,4,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250421T050609_20250421T050603_T44NNP_4,2025-04-21,Monaragala,4,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250424T045659_20250424T050837_T44PLR_0,2025-04-24,Jaffna,4,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250424T045659_20250424T050837_T44PLR_1,2025-04-24,Matale,4,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250424T045659_20250424T050837_T44PLR_2,2025-04-24,Anuradhapura,4,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250424T045659_20250424T050837_T44PLR_3,2025-04-24,Polonnaruwa,4,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250424T045659_20250424T050837_T44PLR_4,2025-04-24,Monaragala,4,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250426T050621_20250426T050623_T44NMP_0,2025-04-26,Jaffna,4,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250426T050621_20250426T050623_T44NMP_1,2025-04-26,Matale,4,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250426T050621_20250426T050623_T44NMP_2,2025-04-26,Anuradhapura,4,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250426T050621_20250426T050623_T44NMP_3,2025-04-26,Polonnaruwa,4,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250426T050621_20250426T050623_T44NMP_4,2025-04-26,Monaragala,4,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250426T050621_20250426T050623_T44NNN_0,2025-04-26,Jaffna,4,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250426T050621_20250426T050623_T44NNN_1,2025-04-26,Matale,4,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250426T050621_20250426T050623_T44NNN_2,2025-04-26,Anuradhapura,4,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250426T050621_20250426T050623_T44NNN_3,2025-04-26,Polonnaruwa,4,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250426T050621_20250426T050623_T44NNN_4,2025-04-26,Monaragala,4,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250426T050621_20250426T050623_T44NNP_0,2025-04-26,Jaffna,4,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250426T050621_20250426T050623_T44NNP_1,2025-04-26,Matale,4,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250426T050621_20250426T050623_T44NNP_2,2025-04-26,Anuradhapura,4,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250426T050621_20250426T050623_T44NNP_3,2025-04-26,Polonnaruwa,4,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250426T050621_20250426T050623_T44NNP_4,2025-04-26,Monaragala,4,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250506T050621_20250506T050622_T44NNN_0,2025-05-06,Jaffna,5,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250506T050621_20250506T050622_T44NNN_1,2025-05-06,Matale,5,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250506T050621_20250506T050622_T44NNN_2,2025-05-06,Anuradhapura,5,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250506T050621_20250506T050622_T44NNN_3,2025-05-06,Polonnaruwa,5,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250506T050621_20250506T050622_T44NNN_4,2025-05-06,Monaragala,5,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250506T050621_20250506T050622_T44NNP_0,2025-05-06,Jaffna,5,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250506T050621_20250506T050622_T44NNP_1,2025-05-06,Matale,5,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250506T050621_20250506T050622_T44NNP_2,2025-05-06,Anuradhapura,5,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250506T050621_20250506T050622_T44NNP_3,2025-05-06,Polonnaruwa,5,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250506T050621_20250506T050622_T44NNP_4,2025-05-06,Monaragala,5,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250605T050621_20250605T050622_T44NMP_0,2025-06-05,Jaffna,6,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250605T050621_20250605T050622_T44NMP_1,2025-06-05,Matale,6,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250605T050621_20250605T050622_T44NMP_2,2025-06-05,Anuradhapura,6,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250605T050621_20250605T050622_T44NMP_3,2025-06-05,Polonnaruwa,6,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250605T050621_20250605T050622_T44NMP_4,2025-06-05,Monaragala,6,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250605T050621_20250605T050622_T44NNN_0,2025-06-05,Jaffna,6,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250605T050621_20250605T050622_T44NNN_1,2025-06-05,Matale,6,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250605T050621_20250605T050622_T44NNN_2,2025-06-05,Anuradhapura,6,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250605T050621_20250605T050622_T44NNN_3,2025-06-05,Polonnaruwa,6,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250605T050621_20250605T050622_T44NNN_4,2025-06-05,Monaragala,6,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250605T050621_20250605T050622_T44NNP_0,2025-06-05,Jaffna,6,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250605T050621_20250605T050622_T44NNP_1,2025-06-05,Matale,6,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250605T050621_20250605T050622_T44NNP_2,2025-06-05,Anuradhapura,6,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
