year,Month,Season,District,Extent (hectares),Yield (MT),Temperature,Rainfall,Humidity,EVI - I,EVI - II,NDVI - I,NDVI - II,mean clay - 0-5cm,mean pH - 0-5cm,mean Sand
2019,August,Yala,Polannaruwa,28.35,222,28.69,2.34,70.01,0.3431,0.2983,0.6451,0.4351,297,60,315
2019,August,Yala,Matale,110.83,3817,25.89,4.07,78.67,0.2695,0.2941,0.3553,0.3096,0,0,0
2019,September,Yala,Anuradhapura,258.57,4807,27.5,4.42,77.31,0.3073,0.4568,0.4141,0.6428,276,58,480
2019,September,Yala,Polannaruwa,30.19,333,28.22,4.2,74.36,0.376,0.3198,0.4412,0.4904,297,60,315
2019,September,Yala,Matale,361.02,5206,25.59,6.33,81.83,0.2494,0.4012,0.432,0.5627,0,0,0
2019,September,Yala,Kurunegala,3.13,87,25.59,6.33,81.83,0.4448614626,0.5230294278,0.6217754958,0.7273448491,0,0,0
2019,October,Yala,Anuradhapura,10.8,252,26.08,13.06,86.56,0.1537,0,0.4681,0,276,58,480
2019,October,Yala,Polannaruwa,2.85,240,26.68,12.72,84.37,0.2958,0,0.5142,0,297,60,315
2019,October,Yala,Kurunegala,1,2,24.74,13.1,88.14,0.3846811687,0,0.6028849845,0,0,0,0
2019,November,Yala,Polannaruwa,1.43,274,26.78,11.57,84.61,0.3691,0.2958,0.6091,0.5081,297,60,315
