system:index,Date,District,Month,Year,.geo
2000_05_24_1,2000-05-24,Anuradhapura,5,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_05_24_2,2000-05-24,Polonnaruwa,5,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_05_24_3,2000-05-24,Matale,5,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_05_24_4,2000-05-24,Monaragala,5,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_06_01_0,2000-06-01,Jaffna,6,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_06_01_1,2000-06-01,Anuradhapura,6,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_06_01_2,2000-06-01,Polonnaruwa,6,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_06_01_3,2000-06-01,Matale,6,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_06_01_4,2000-06-01,Monaragala,6,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_06_09_0,2000-06-09,Jaffna,6,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_06_09_1,2000-06-09,Anuradhapura,6,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_06_09_2,2000-06-09,Polonnaruwa,6,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_06_09_3,2000-06-09,Matale,6,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_06_09_4,2000-06-09,Monaragala,6,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_06_17_0,2000-06-17,Jaffna,6,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_06_17_1,2000-06-17,Anuradhapura,6,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_06_17_2,2000-06-17,Polonnaruwa,6,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_06_17_3,2000-06-17,Matale,6,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_06_17_4,2000-06-17,Monaragala,6,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_06_25_0,2000-06-25,Jaffna,6,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
