year,month,season,district,temperature_c,rainfall,humidity_pct,evi_i,ndvi_i,clay_0_5cm,ph_0_5cm,sand_0_5cm,yield_mt_per_ha
2023,September,Yala,Matale,25.91300565122273,7.4593621329153414,81.4015836403042,0.24183587340670948,0.3667710546046694,323.98098376057766,57.01286474381583,432.95032964782564,21.213731676527306
2024,August,Yala,Matale,26.09743558630821,4.504533724950417,82.01350476657588,0.20805650024572264,0.3930834211739943,319.7067158593001,57.01112375812264,431.96331292555334,34.485978298343596
2024,September,Yala,Anuradhapura,28.86442643137596,0.6511538380673741,73.16974394949932,0.19731615084224804,0.2854639736430972,278.6148149005844,58.06985919709829,477.95631672562115,21.198929683485293
2019,August,Yala,Polannaruwa,28.745846028696672,2.5380828433322615,69.86412323221465,0.3482297939067054,0.6424014758646295,297.4197750912866,59.99556488659196,319.8536387015447,7.977581219915215
2023,September,Yala,Matale,25.847177214977037,7.442862480866556,81.46701252576665,0.23316635774872876,0.3707271397062577,322.313597244431,56.91340654473171,435.63086160882625,22.391989592842666
2019,September,Yala,Kurunegala,25.59442414478797,6.335622747185772,81.90954883870538,0.441178641428863,0.617757573719437,337.17368442276245,57.03916101403153,393.4778286275201,27.921546122272414
2020,September,Yala,Matale,25.039505352419393,5.266644080485202,83.69240688648978,0.23677732453507128,0.3446517360501448,317.97756495689083,57.046955441250994,428.94097671811465,12.229383808255122
2025,September,Yala,Matale,25.596327980998993,5.2268795992815065,83.91409947367686,0.2795934929557013,0.40321443200508456,320.34440641929456,57.069365720224646,437.17352667537966,22.148370510361346
2022,October,Yala,Polannaruwa,27.19634826402638,12.05241587890698,80.35019464231513,0.34675982869394223,0.5106118556090801,295.5666374798785,59.998165845800905,315.78226241133797,12.832103595295546
2020,October,Yala,Polannaruwa,28.37608860800305,1.2189878216080638,73.31679363246019,0.34499073205600844,0.5240020869828157,297.94396014733974,59.964762361934696,315.1474111241542,18.50022690074273
2019,October,Yala,Anuradhapura,26.042464544395518,12.916925237958486,86.53658407803528,0.15620984718347575,0.46684605416089425,274.59342402879173,58.058089769786356,483.98857219414884,22.811911930926083
